Epoch,D_Loss,G_Loss,Cycle_Loss,ID_Loss,PSNR_Loss,PSNR_dB
1,0.7673426866531372,1.1852099895477295,0.2109939455986023,0.19727885723114014,-39.567039489746094,20.070301055908203
2,1.128824234008789,0.2641315460205078,0.1572573482990265,0.21504364907741547,-43.367515563964844,21.96038818359375
3,1.0497150421142578,1.5235676765441895,0.21026939153671265,0.1932995617389679,-39.862178802490234,18.99877166748047
4,1.6267545223236084,0.02582073211669922,0.1544201374053955,0.16979242861270905,-44.084266662597656,19.918312072753906
5,0.5298774242401123,0.15950775146484375,0.19678720831871033,0.16644729673862457,-41.313148498535156,21.224544525146484
6,1.3453280925750732,2.784506320953369,0.15136045217514038,0.13635344803333282,-44.41600036621094,19.04422950744629
7,0.5569367408752441,2.1334705352783203,0.15036703646183014,0.13911965489387512,-44.04155731201172,21.53415870666504
8,0.9465697407722473,1.3620009422302246,0.16911181807518005,0.16063573956489563,-44.42314529418945,22.227115631103516
1,0.8788973093032837,1.9817490577697754,0.23596157133579254,0.22051824629306793,-42.60144805908203,25.663793563842773
2,0.8926028609275818,5.485314846038818,0.41484397649765015,0.3099942207336426,-31.221221923828125,17.595600128173828
3,1.017857551574707,-1.7776923179626465,0.09702713787555695,0.09727589786052704,-50.19645309448242,26.461299896240234
4,0.8587026596069336,2.50278377532959,0.2563614845275879,0.18476837873458862,-36.998619079589844,18.542987823486328
5,0.6809694170951843,2.587228775024414,0.29860323667526245,0.22224470973014832,-36.27418899536133,19.77623176574707
6,1.4332376718521118,1.41904878616333,0.2032800316810608,0.41156554222106934,-40.61778259277344,19.242910385131836
7,0.7690315246582031,2.1583378314971924,0.26612842082977295,0.23058141767978668,-37.47491455078125,19.191463470458984
8,1.1390032768249512,-0.857947587966919,0.11915415525436401,0.10517439246177673,-47.303672790527344,22.055530548095703
9,0.37335634231567383,1.6438179016113281,0.18567980825901031,0.14750702679157257,-48.74717712402344,30.518781661987305
10,1.1877950429916382,-0.6620845794677734,0.14707297086715698,0.1464807391166687,-51.56227111816406,28.901992797851562
11,0.41279536485671997,2.4374032020568848,0.2593766450881958,0.2435396909713745,-37.692604064941406,22.406986236572266
12,0.7258055210113525,1.4340925216674805,0.11619395017623901,0.0980423092842102,-48.00429153442383,19.94915771484375
13,0.8508347272872925,1.8674132823944092,0.2671666741371155,0.199079230427742,-37.8647575378418,21.8070068359375
14,0.1982083022594452,-2.408505916595459,0.08140798658132553,0.07739649713039398,-52.6519889831543,25.602558135986328
15,0.7329733371734619,0.007147789001464844,0.11329153180122375,0.0961340069770813,-50.17937469482422,28.118188858032227
16,0.6846681833267212,1.244969367980957,0.1824016124010086,0.17064222693443298,-48.32478332519531,31.619483947753906
17,0.7262009382247925,3.5901360511779785,0.22025179862976074,0.18206217885017395,-39.85088348388672,21.214807510375977
18,0.8695764541625977,0.92486572265625,0.11967048048973083,0.09974262118339539,-48.782981872558594,26.860980987548828
19,0.9375026226043701,0.9299421310424805,0.12988945841789246,0.132697194814682,-45.35917663574219,22.34726905822754
20,1.0224206447601318,-1.152930736541748,0.13621105253696442,0.09553574025630951,-51.4835319519043,31.755849838256836
21,0.47988444566726685,2.2161855697631836,0.15257033705711365,0.10815656185150146,-44.45226287841797,25.446048736572266
22,0.27774226665496826,2.502927303314209,0.2349769026041031,0.15673980116844177,-43.33555603027344,27.154674530029297
23,0.8608800768852234,-1.8489832878112793,0.04925357177853584,0.04759686440229416,-60.69776916503906,32.88885498046875
24,0.6525291204452515,0.8904547691345215,0.1284935474395752,0.11021539568901062,-46.533206939697266,21.42416000366211
25,0.733467698097229,3.7728190422058105,0.20454080402851105,0.16362018883228302,-49.17700958251953,31.78333282470703
26,0.7209416627883911,2.245715618133545,0.16623711585998535,0.1418496072292328,-46.34943389892578,24.21737289428711
27,0.4829067587852478,0.8777837753295898,0.11975689232349396,0.10433909296989441,-50.283660888671875,24.975900650024414
